Compound,Element,Anion,MW (g/mol),Temp (°C),Mass %,Molarity (M),log S,g/100mL H2O,Source
Ba(BrO3)2,Ba,BrO3,393.13,50,1.74,0.04426016839213492,-1.3539869380898302,1.770812131080806,CRC
Ba(BrO3)2,Ba,BrO3,393.13,60,2.27,0.05774171393686567,-1.2385103291793071,2.3227258774173745,CRC
Ba(BrO3)2,Ba,BrO3,393.13,70,2.9,0.07376694732022486,-1.1321381884734738,2.9866117404737387,CRC
Ba(BrO3)2,Ba,BrO3,393.13,80,3.61,0.09182713097448682,-1.037028984466772,3.7452017844174708,CRC
Ba(BrO3)2,Ba,BrO3,393.13,90,4.4,0.11192226489965151,-0.9510835098862425,4.602510460251047,CRC
Ba(BrO3)2,Ba,BrO3,393.13,100,5.25,0.1335436115279933,-0.874376882966473,5.54089709762533,CRC
Ba(C2H3O2)2,Ba,C2H3O2,255.42,0,37.0,1.448594471850286,0.16094682350621495,58.73015873015873,CRC
Ba(C2H3O2)2,Ba,C2H3O2,255.42,30,44.2,1.730483125831963,0.23816736878831182,79.21146953405018,CRC
BaCl2,Ba,Cl,208.23,0,23.3,1.1189550016808338,0.04881262190399724,30.378096479791395,CRC
BaCl2,Ba,Cl,208.23,10,24.88,1.194832636987946,0.07730707689675931,33.12034078807242,CRC
BaCl2,Ba,Cl,208.23,20,26.33,1.2644671757191566,0.10190755998404631,35.74046423238767,CRC
BaCl2,Ba,Cl,208.23,25,27.03,1.2980838495893965,0.11330274657670367,37.042620254899276,CRC
BaCl2,Ba,Cl,208.23,30,27.7,1.3302598088651971,0.12393646994242676,38.31258644536653,CRC
BaCl2,Ba,Cl,208.23,40,29.0,1.3926907746242136,0.1438546987769343,40.84507042253521,CRC
BaCl2,Ba,Cl,208.23,50,30.27,1.4536810257887913,0.1624691218345512,43.4102968593145,CRC
BaCl2,Ba,Cl,208.23,60,31.53,1.5141910387552227,0.18018067162588286,46.04936468526362,CRC
BaCl2,Ba,Cl,208.23,70,32.81,1.5756615281179467,0.19746293126402595,48.831671379669594,CRC
BaCl2,Ba,Cl,208.23,80,34.14,1.6395332084714018,0.21472021765669302,51.837230488915885,CRC
BaCl2,Ba,Cl,208.23,90,35.54,1.706766556211881,0.2321741243472609,55.13496742165683,CRC
BaCl2,Ba,Cl,208.23,100,37.05,1.7792825241319696,0.2502449131933252,58.856235107227945,CRC
Ba(ClO2)2,Ba,ClO2,240.23,0,30.5,1.269616617408317,0.10367259805799722,43.884892086330936,CRC
Ba(ClO2)2,Ba,ClO2,240.23,20,31.3,1.302918036881322,0.11491709625765988,45.56040756914119,CRC
Ba(ClO2)2,Ba,ClO2,240.23,50,44.7,1.8607168130541565,0.2696802818431479,80.83182640144666,CRC
Ba(ClO3)2,Ba,ClO3,304.23,0,16.9,0.5555007724419024,-0.2553153328220828,20.33694344163658,CRC
Ba(ClO3)2,Ba,ClO3,304.23,10,21.23,0.6978273017125202,-0.15625204326975747,26.951885235495748,CRC
Ba(ClO3)2,Ba,ClO3,304.23,20,23.66,0.7777010814186635,-0.10918729714384479,30.992926381975373,CRC
Ba(ClO3)2,Ba,ClO3,304.23,25,27.5,0.903921375275285,-0.043869343605493716,37.93103448275862,CRC
Ba(ClO3)2,Ba,ClO3,304.23,30,29.43,0.9673602208855142,-0.014411775336145384,41.703273345614285,CRC
Ba(ClO3)2,Ba,ClO3,304.23,40,33.16,1.0899648292410347,0.03741248444247959,49.611011370436856,CRC
Ba(ClO3)2,Ba,ClO3,304.23,50,36.69,1.2059954639581894,0.08134567432019152,57.952930026851995,CRC
Ba(ClO3)2,Ba,ClO3,304.23,60,40.05,1.3164382210827335,0.11940048298450015,66.80567139282735,CRC
Ba(ClO3)2,Ba,ClO3,304.23,70,43.04,1.4147191269763006,0.1506702252225764,75.56179775280899,CRC
Ba(ClO3)2,Ba,ClO3,304.23,80,45.9,1.5087269500049303,0.17861064810150487,84.84288354898337,CRC
Ba(ClO3)2,Ba,ClO3,304.23,90,48.7,1.6007625809420503,0.20432692377887798,94.93177387914231,CRC
Ba(ClO3)2,Ba,ClO3,304.23,100,51.17,1.681951155375867,0.225813379536361,104.79213598197829,CRC
Ba(ClO4)2,Ba,ClO4,336.23,0,67.3,2.00160604348214,0.3013786036238164,205.8103975535168,CRC
Ba(ClO4)2,Ba,ClO4,336.23,10,70.96,2.110460101716087,0.32437714622350955,244.3526170798897,CRC
Ba(ClO4)2,Ba,ClO4,336.23,20,74.3,2.209796865241055,0.3443523531604149,289.10505836575874,CRC
Ba(ClO4)2,Ba,ClO4,336.23,25,75.75,2.2529221068911163,0.3527461765741823,312.37113402061857,CRC
Ba(ClO4)2,Ba,ClO4,336.23,30,77.05,2.2915861166463434,0.36013618245427775,335.7298474945533,CRC
Ba(ClO4)2,Ba,ClO4,336.23,40,79.23,2.3564226868512628,0.37225319532642615,381.46364949446325,CRC
Ba(ClO4)2,Ba,ClO4,336.23,50,80.92,2.406685899533058,0.3814194134986067,424.10901467505244,CRC
Ba(ClO4)2,Ba,ClO4,336.23,60,82.21,2.4450524938286287,0.388288187604988,462.113546936481,CRC
Ba(ClO4)2,Ba,ClO4,336.23,70,83.16,2.47330696249591,0.39327802005927115,493.82422802850346,CRC
Ba(ClO4)2,Ba,ClO4,336.23,80,83.88,2.494720875591113,0.3970219611931458,520.3473945409428,CRC
Ba(ClO4)2,Ba,ClO4,336.23,90,84.43,2.5110787258721707,0.39986032867306,542.2607578676946,CRC
Ba(ClO4)2,Ba,ClO4,336.23,100,84.9,2.5250572524759836,0.40227122964379225,562.2516556291392,CRC
BaF2,Ba,F,175.32,0,0.158,0.009012092174309835,-2.045174375027499,0.1582500350553875,CRC
BaF2,Ba,F,175.32,30,0.161,0.009183207848505591,-2.0370055859500718,0.16125962800108176,CRC
BaI2,Ba,I,391.14,0,62.5,1.5978933374239404,0.20354778592024464,166.66666666666666,CRC
BaI2,Ba,I,391.14,10,64.7,1.654139182901263,0.21857204924486978,183.28611898017,CRC
BaI2,Ba,I,391.14,20,67.3,1.720611545738099,0.23568283280014626,205.8103975535168,CRC
BaI2,Ba,I,391.14,25,68.8,1.7589609858362736,0.24525620681168073,220.5128205128205,CRC
BaI2,Ba,I,391.14,30,69.1,1.7666308738559084,0.24714581595036778,223.62459546925558,CRC
BaI2,Ba,I,391.14,40,69.5,1.7768573912154217,0.2496525731662833,227.86885245901638,CRC
BaI2,Ba,I,391.14,50,70.1,1.7921971672546915,0.25338578654282806,234.44816053511698,CRC
BaI2,Ba,I,391.14,60,70.7,1.8075369432939612,0.25708718237306877,241.29692832764508,CRC
BaI2,Ba,I,391.14,70,71.3,1.8228767193332311,0.26075729842803497,248.4320557491289,CRC
BaI2,Ba,I,391.14,80,72.0,1.8407731247123793,0.2650002650074379,257.14285714285717,CRC
BaI2,Ba,I,391.14,90,72.7,1.8586695300915275,0.26920217943520725,266.3003663003663,CRC
BaI2,Ba,I,391.14,100,73.4,1.8765659354706756,0.27336382849223995,275.93984962406023,CRC
Ba(IO3)2,Ba,IO3,487.13,0,0.0182,0.0003736168989797385,-3.427573488524197,0.01820331300296654,CRC
Ba(IO3)2,Ba,IO3,487.13,10,0.0262,0.0005378441073224807,-3.2693435851895263,0.026206866198944124,CRC
Ba(IO3)2,Ba,IO3,487.13,20,0.0342,0.0007020713156652229,-3.1536187704531367,0.03421170040153732,CRC
Ba(IO3)2,Ba,IO3,487.13,25,0.0396,0.0008129246812965739,-3.0899496905837593,0.0396156878123737,CRC
Ba(IO3)2,Ba,IO3,487.13,30,0.045,0.0009237780469279248,-3.034432362733928,0.04502025911660247,CRC
Ba(IO3)2,Ba,IO3,487.13,40,0.058,0.001190647260484881,-2.924216882946334,0.058033659522523075,CRC
Ba(IO3)2,Ba,IO3,487.13,50,0.073,0.0014985732761275223,-2.824322016388816,0.07305332893011898,CRC
Ba(IO3)2,Ba,IO3,487.13,60,0.09,0.0018475560938558495,-2.7334023670699468,0.0900810729656691,CRC
Ba(IO3)2,Ba,IO3,487.13,70,0.109,0.0022375957136698626,-2.650218378568648,0.1091189396442122,CRC
Ba(IO3)2,Ba,IO3,487.13,80,0.131,0.0026892205366124034,-2.5703735808535075,0.13117183510398622,CRC
Ba(IO3)2,Ba,IO3,487.13,90,0.156,0.0032024305626834728,-2.49452027815481,0.15624374023476625,CRC
